,headlines,content,date,headlines_en,content_en,stem_headline_en,emotion
10,patiënt welkom bij tandarts – met strenge maatregelen tegen corona,"tandartsen staan weer klaar om de boor ter hand te nemen bij acute kiespijn, maar ook weer voor de halfjaarlijkse controle. toch is het nog geen komen en ...",22-04-20,Welcome patient at dentist - with strict measures against corona,"dentists are ready to take the drill to hand in acute toothache, but again for the semi-annual inspection. yet it is not come yet and ...","['Welcome', 'patient', 'dentist', 'with', 'strict', 'measure', 'against', 'corona']",fear
11,onderzoek naar vatbaarheid varkens voor corona | binnenland,landbouwminister carola schouten laat onderzoeken of varkens besmet kunnen raken met het nieuwe coronavirus. uit onderzoek tot dusver is dat niet ...,22-04-20,investigating susceptibility pigs corona | outback,Agriculture Minister carola sheriffs investigating whether pigs can become infected with the new coronavirus. research so far that has not ...,"['investigating', 'susceptibility', 'pig', 'corona', 'outback']",fear
12,liveblog corona 22 april 2020,in dit liveblog houdt binnenlands bestuur naast de reguliere berichtgeving een chronologisch overzicht bij van het laatste nieuws over het …,22-04-20,liveblog corona 22 april 2020,In this live blog keeps local government a chronological record of the latest addition to the regular reporting on the ...,"['liveblog', 'corona', 'april', '2020']",anger
13,"corona-update | meer verstoppingen in riool sinds coronamaatregelen, mondkapjesplicht in duitsland","videohet nieuws omtrent het coronavirus volgt zich in zo'n hoog tempo op, dat het bijna niet bij te benen is. daarom maken we elke dag een overzicht van de ...",22-04-20,"corona Update | more blockages in sewer since corona measures, surgical masks duty in Germany",videohet news about the coronavirus follow in such rapid succession that it is almost impossible to catch up. Therefore we make a daily list of the ...,"['corona', 'Update', 'more', 'blockage', 'sewer', 'since', 'corona', 'measure', 'surgical', 'mask', 'duty', 'Germany']",fear
14,vijftien nieuwe ziekenhuisopnames door corona,sinds gisteren zijn er vijftien nieuwe opnames van coronapatiënten in amsterdamse ziekenh.,22-04-20,Fifteen new hospitalizations by corona,Since yesterday there are fifteen new recordings of corona patients in amsterdam luxury m.,"['Fifteen', 'new', 'hospitalization', 'corona']",sadness
15,"de 'zweedse corona-aanpak' bestaat niet, en toch ook weer wel",de ontspannen zweedse aanpak van het coronavirus oogst verbazing in de wereld. veel maatregelen blijken bij nadere beschouwing meer toeval dan ...,22-04-20,"The 'Swedish corona approach' does not exist, and then again they",the swedish relaxed approach coronavirus harvest surprise in the world. many measures have proved on closer inspection more than coincidence ...,"['The', ""'Swedish"", 'corona', 'approach', 'doe', 'not', 'exist', 'and', 'then', 'again', 'they']",anger
16,'de jonge laat nieuwe corona-app maken' • tandartsen hervatten reguliere zorg,"de meeste bestaande coronamaatregelen worden tot 20 mei verlengd. zo gaan kappers en fysiotherapeuten nog niet aan het werk, blijft de horeca dicht en ...",22-04-20,"""Creating the new young leaves corona app • Resume regular dental care","Most existing corona measures be extended until May 20. so go hairdressers and therapists not working, hospitality remains closed and ...","['Creating', 'the', 'new', 'young', 'leaf', 'corona', 'app', 'Resume', 'regular', 'dental', 'care']",disgust
17,bijna 8 miljoen tv-kijkers voor rutte • de jonge laat nieuwe corona-app maken,experts uit verschillende disciplines praten de hele ochtend de tweede kamer bij over de ontwikkeling van corona-apps. die hoorzitting is te volgen bij de nos ...,22-04-20,nearly 8 million TV viewers for rutte • Young leaves corona new app making,experts from different disciplines talking all morning the second chamber in the development of corona apps. that hearing is followed by the nos ...,"['nearly', 'million', 'viewer', 'for', 'rutte', 'Young', 'leaf', 'corona', 'new', 'app', 'making']",disgust
18,"wachtrij bij corona-sneltest in losser, ggd is minder blij","binnen een uur weten of je corona hebt (gehad). het kon vandaag bij hestia in losser, een bedrijf dat zich richt op de trombosezorg. ""er is een grote behoefte ...",22-04-20,"queue at corona quick test looser, GCD is less happy","you know if you corona within an hour (had). could today at hestia in looser, a company that focuses on the care thrombosis. ""There is a great need ...","['queue', 'corona', 'quick', 'test', 'looser', 'GCD', 'le', 'happy']",joy
19,oud-kamerlid sgp van den berg overleden aan corona,"koos van den berg, oud-kamerlid namens de sgp, is gisteravond op 77-jarige leeftijd overleden. volgens het reformatorisch dagblad stierf hij aan ...",22-04-20,former MP sgp of Mount deceased to corona,"chose from the mountain, a former member of parliament on behalf of the SGP, is deceased yesterday at the age of 77. according to the reformist newspaper he died of ...","['former', 'sgp', 'Mount', 'deceased', 'corona']",disgust
20,bezuinigen na corona: de opties liggen al klaar,"geen enkele politicus maalt op dit moment om de oplopende staatsschuld. maar als de coronacrisis eenmaal bezworen is, is dat wel anders.",22-04-20,cut after corona: the options are ready,"no politician served at this time to the rising national debt. but if the corona crisis is averted once, is quite different.","['cut', 'after', 'corona', 'the', 'options', 'are', 'ready']",disgust
21,kabinet wil niet te snel meer testen op corona en baarn bereidt zich voor op digitaal vergaderen,provincie utrecht - ook deze woensdag worden er weer een boel nieuwe ontwikkelingen in de coronacrisis verwacht.,22-04-20,Cabinet does not want to fast more testing corona and baarn prepares for digital conferencing,Utrecht province - also this Wednesday will be another lot of new developments expected in the corona crisis.,"['Cabinet', 'doe', 'not', 'want', 'fast', 'more', 'testing', 'corona', 'and', 'baarn', 'prepares', 'for', 'digital', 'conferencing']",anger
22,'tekort aan arbeidsmigranten dreigt door corona',"in de landbouw en bouwsector dreigen vanwege de coronapandemie tekorten te ontstaan aan buitenlandse arbeidskrachten uit landen als polen, bulgarije en ...",22-04-20,"""Shortage threatens to migrant workers by corona '","in the agriculture and construction sectors threatened because of the corona pandemic deficits occur to foreign workers from countries such as Poland, Bulgaria and ...","['Shortage', 'threatens', 'migrant', 'worker', 'corona']",fear
23,de vergeten corona groep,"dinsdagavond was er een persconferentie over het corona virus. ik vond het een duidelijk en goed verhaal, aan de meeste mensen werd aandacht gegeven en ...",22-04-20,the forgotten corona group,"Tuesday night there was a press conference about the coronavirus. I found it a clear and good story, attention was given to the most people and ...","['the', 'forgotten', 'corona', 'group']",anger
24,luchtkwaliteit sinds corona flink verbeterd | #nlblijftthuis,in de rubriek 'dominique duikt in de data' laat datajournalist dominique voss zien wat er allemaal verandert in coronatijden. vandaag: veel minder vervuiling in ...,22-04-20,Air quality improved significantly since corona | #nlblijftthuis,under 'Dominique delves into the data' shows data journalist Dominique Voss see what all changes corona times. today much less pollution ...,"['Air', 'quality', 'improved', 'significantly', 'since', 'corona', 'nlblijftthuis']",joy
25,"als je gehandicapte dochter corona heeft: 'niet bij je kind kunnen zijn, is vreselijk'","ede - het al weken gevreesde telefoontje kwam zondag. marjolein (40), de gehandicapte dochter van dirk (74) en marianne (64) van ginkel uit ede, is besmet ...",22-04-20,"if you have disabled daughter corona ""can not be with your child's terrible '","oath - all week dreaded call came Sunday. Marjoram (40), the handicapped daughter of Dirk (74) and Marianne (64) from ginkel oath is infected ...","['you', 'have', 'disabled', 'daughter', 'corona', 'can', 'not', 'with', 'your', 'child', 'terrible']",sadness
26,corona | 'ondernemers hebben nieuw steunpakket nodig',er is een nieuw steunpakket nodig voor ondernemers die zijn getroffen door de coronacrisis. een deel van de ondernemers dreigt anders ten onder te gaan.,22-04-20,"corona | ""Entrepreneurs need new bailout '",there is a new aid package needed for operators affected by the corona crisis. some of the businesses might otherwise perish too.,"['corona', 'Entrepreneurs', 'need', 'new', 'bailout']",disgust
27,kamer wil snel overleg over gevolgen van corona voor het onderwijs,nieuws | de redactie. 22 april 2020 | wordt de privacy van studenten niet op grote schaal geschonden met online tentamens? moet er geen financiële hulp ...,22-04-20,Room will soon discuss effects of corona for education,"news | Editors. April 22, 2020 | the privacy of students is not violated on a large scale online exams? there should be no financial help ...","['Room', 'will', 'soon', 'discus', 'effect', 'corona', 'for', 'education']",sadness
28,waarom niet op bezoek bij opa en oma als kinderen het virus nauwelijks verspreiden?,uit de eerste resultaten van verschillende onderzoeken blijkt dat kinderen nauwelijks bijdragen aan de verspreiding van het coronavirus. daarom gaan onder ...,22-04-20,why not visit grandparents and children hardly spread the virus?,the first results of several studies show that children hardly contribute to the spread of the coronavirus. therefore go under ...,"['why', 'not', 'visit', 'grandparent', 'and', 'children', 'hardly', 'spread', 'the', 'virus']",disgust
29,van 'quarantinderen' tot 'balkonade': hoe corona de dikke van dale bestormt,"quizals je met een coronakapsel de 1,5 metersamenleving betreedt, levert dat overal ontwijkstress op. ja, de dikke van dale wordt met de dag dikker in deze ...",22-04-20,of 'quarantinderen' to 'balkonade: how corona storming the thick of dale,"quizals you enter the 1.5 meter society corona capsule that delivers anywhere avoid stress. So, the thick of the pit is thicker by the day in this ...","[""'quarantinderen"", ""'balkonade"", 'how', 'corona', 'storming', 'the', 'thick', 'dale']",fear
30,dutch comic con nog eens uitgesteld vanwege corona: nu in november,"de tiende editie van heroes dutch comic con, het evenement voor fans van strips, fantasy en games, wordt verplaatst naar het weekend van 21 en 22 ...",22-04-20,dutch comic con again postponed due to corona: Now in November,"The tenth edition of heroes dutch comic con, event for fans of comics, fantasy and games, will be moved to the weekend of 21 and 22 ...","['dutch', 'comic', 'con', 'again', 'postponed', 'due', 'corona', 'Now', 'November']",fear
31,"veel bezorgde zorgmedewerkers toch niet besmet met corona, blijkt uit ggd-cijfers","veel zorgmedewerkers in zaanstreek en waterland die vrezen corona onder de leden te hebben, zijn toch niet besmet met het virus. dat meldt de ggd op basis ...",22-04-20,"many concerned health care workers do not infected with corona, seen from GCD-digit","many healthcare workers in zaanstreek and wetlands that fear corona among the members to have, they are not infected with the virus. which reports the GCD based ...","['many', 'concerned', 'health', 'care', 'worker', 'not', 'infected', 'with', 'corona', 'seen', 'from', 'GCD-digit']",fear
32,corona-app van olvg landelijk beschikbaar: dit doet en en zo werkt het,"de corona app van de overheid laat op zich wachten, amar het olvg-ziekenhuis heeft wel er al wel 1. dit kan de app en zo werkt het.",22-04-20,corona app OLVG available nationwide: it does and how it works and,"Corona App of the government waiting for it, amar OLVG hospital does have it already 1. This allows the app and how it works.","['corona', 'app', 'OLVG', 'available', 'nationwide', 'doe', 'and', 'how', 'work', 'and']",anger
33,corona in duitsland - 22 april: duitsland laat klinische vaccin-test toe,duitsland heeft voor het eerst een klinische studie naar een coronavaccin toegelaten alle duitse deelstaten hebben zich inmiddels uitgesproken voor het ...,22-04-20,corona in Germany - April 22: germany late clinical vaccine tests to,Germany has has now spoken for the first all German states approved a clinical study of a vaccine for the corona ...,"['corona', 'Germany', 'April', 'germany', 'late', 'clinical', 'vaccine', 'test']",fear
34,opinie: een goede corona-app vergt publieke controle,"een corona-app werkt alleen bij een goede inbedding in publiek zorgstelsel en rechtsstaat, betogen josé van dijck en albert meijer.",22-04-20,Opinion: requires public control a good corona app,"corona app works only on good integration in the public health system and the rule of law, argued José van Dijck and albert meijer.","['Opinion', 'requires', 'public', 'control', 'good', 'corona', 'app']",joy
35,het corona-virus raakt ons allemaal | marlies (53 jaar),"het maakt niet uit of je jong of oud bent, het maakt niet uit waar je in je dagelijkse leven mee bezig bent. iedereen van ons heeft met de gevolgen van het virus ...",22-04-20,the corona virus affects us | marlies (53 years),"It does not matter whether you're young or old, no matter what you're doing in your daily life. Everyone of us has the effects of the virus ...","['the', 'corona', 'virus', 'affect', 'marlies', 'year']",fear
36,10 maatregelen hoe logistiek corona bestrijdt op de werkvloer 22 apr,de sector transport and; logistiek heeft samen met de rijksoverheid voorschriften gemaakt die duidelijkheid moeten geven over veilig en gezond doorwerken in ...,22-04-20,10 measures how logistics corona fights in the workplace Apr 22,"industry and transport; logistics, together with the government regulations designed to give that clarity about working in safe and healthy ...","['measure', 'how', 'logistics', 'corona', 'fight', 'the', 'workplace', 'Apr']",fear
37,'oplossing voor probleem met eigen risico door corona',zorgverzekeraars gaan in gesprek met het ministerie van volksgezondheid en de nederlandse zorgautoriteit (nza) over de situatie van patiënten die twee keer ...,22-04-20,'Solution for a problem with excess corona',insurers enter into discussions with the Ministry of Health and the Dutch Healthcare Authority (NZA) on the situation of patients twice ...,"[""'Solution"", 'for', 'problem', 'with', 'excess', 'corona']",guilt
38,nieuws - positive high five: beantwoord corona met liefde,beantwoord corona met liefde: dat dachten vijf vrienden uit lelystad toen de coronacrisis begon. zij zagen alleen maar beelden van mensen die handelden uit ...,22-04-20,News - positive high five: Corona answered with love,"Corona answered with love, that thought five friends Lelystad then began the corona crisis. they saw only images of people who acted out ...","['News', 'positive', 'high', 'five', 'Corona', 'answered', 'with', 'love']",joy
39,corona-uitstel raakt economie: '150.000 bedrijven op de fles',voor veel ondernemers is het uitblijven van een versoepeling van de coronamaatregelen een regelrechte ramp. steeds meer bedrijven hebben moeite het ...,22-04-20,"corona delay affects economy, ""150,000 on the bottle '",for many entrepreneurs is the lack of a relaxation of the corona measures a disaster. more and more companies have difficulty ...,"['corona', 'delay', 'affect', 'economy', '150,000', 'the', 'bottle']",sadness
40,corona maakt zelfs doorgaan van alkmaars ontzetviering onzek...,alles wordt anders in coronatijd en dus zal ook alkmaar ontzet dit jaar anders zijn dan we gewend zijn. het is zelfs de vraag of de 8-oktoberevenementen so...,22-04-20,Corona makes even cancellation of Relief of Alkmaar celebration onzek ...,everything changes in time and therefore corona will Alkmaar dismayed this year different than we are accustomed. it is even questionable whether the eight events October so ...,"['Corona', 'make', 'even', 'cancellation', 'Relief', 'Alkmaar', 'celebration', 'onzek', '...']",guilt
41,"volkskrant ochtend: de corona-app: het was dapper, maar het deugde van geen kant | met die stomme ouders in dat stomme huis: hoe houden pubers de lockdown vol?",de weg naar een corona-app voor contactonderzoek was 'ergens wel dapper' maar deugde van geen kanten voorlopig is de corona-app voor contactonderzo...,22-04-20,"Volkskrant morning: Corona app: it was brave, but unfit to nowhere | those stupid parents in that stupid house: how to keep teenagers the full lockdown?",the way to a corona-app contact investigation was 'somewhere or brave' unfit but no sides provisionally corona app contactonderzo ...,"['Volkskrant', 'morning', 'Corona', 'app', 'be', 'brave', 'but', 'unfit', 'nowhere', 'those', 'stupid', 'parent', 'that', 'stupid', 'house', 'how', 'keep', 'teenager', 'the', 'full', 'lockdown']",fear
42,"corona-afdeling ziekenhuis waalwijk niet langer nodig | waalwijk, heusden eo",waalwijk - de corona-afdeling in het ziekenhuis in waalwijk wordt afgebouwd. volgens zorgorganisatie schakelring die drie weken geleden de afdeling ...,22-04-20,"Corona hospital ward waalwijk no longer necessary | waalwijk, heusden eo","waalwijk - the corona department is being phased in hospital in Waalwijk. according care organization switching ring three weeks ago, the department ...","['Corona', 'hospital', 'ward', 'waalwijk', 'longer', 'necessary', 'waalwijk', 'heusden']",fear
43,nieuws wetenschappers hekelen zoektocht naar corona-app,"aan het slot van een urenlange sessie afgelopen weekend, waarin appbouwers hun plannen presenteerden, bleek dat basale uitgangspunten over de app nog ...",22-04-20,news berate scientists search for corona app,"at the end of an hour-long session last weekend, which appbouwers presented their plans, found that basic assumptions about the app yet ...","['news', 'berate', 'scientists', 'search', 'for', 'corona', 'app']",disgust
44,hooikoorts of corona: 'het zijn twee totaal verschillende ziektebeelden',weerman roland van der zwaag vertelde het gisteren al op de radio: er zijn heel veel pollen in de lucht. dat betekent dat veel mensen last hebben van ...,22-04-20,"hay fever or corona, ""they are two completely different diseases'",weatherman roland van der zwaag told yesterday on the radio: there are a lot of pollen in the air. which means that many people suffer from ...,"['hay', 'fever', 'corona', 'they', 'are', 'two', 'completely', 'different', 'disease']",sadness
45,corona in de regio: 'koffiedik kijken' voor organisatoren concerten en betaald voetbal 'kan crisis wel aan',de strijd tegen het coronavirus gaat onverminderd door. ondertussen gebeurt er van alles. volg hier de laatste ontwikkelingen over het coronavirus in onze ...,22-04-20,"corona in the region, ""gazing"" for organizers concerts and professional football ""crisis can handle '","the fight against coronavirus continues. Meanwhile, things happen. Follow here the latest developments of the coronavirus in our ...","['corona', 'the', 'region', 'gazing', 'for', 'organizers', 'concert', 'and', 'professional', 'football', 'crisis', 'can', 'handle']",anger
46,"zorgcentrum joure flink geraakt door corona: 'het is zwaar en vermoeiend, maar het is je werk, dus je doet het gewoon'","woonzorg- en behandelcentrum de flecke in joure is flink getroffen door het coronavirus. de afgelopen vier weken overleden in elk geval negen bewoners, ...",22-04-20,"care center joure significantly affected by corona ""it is heavy and tiring, but it's your job, so you just do it '",woonzorg- and treatment in the Flecke joure is significantly affected by the coronavirus. Over the past four weeks deceased at least nine people ...,"['care', 'center', 'joure', 'significantly', 'affected', 'corona', 'heavy', 'and', 'tiring', 'but', 'your', 'job', 'you', 'just']",fear
47,gedragstherapeut verwacht corona-opstand,"gedragstherapeut martin appelo zegt in het nos radio 1 journaal met verbijstering naar de persconferentie van mark rutte te hebben gekeken. ""ik denk dat ...",22-04-20,behavioral expected corona-uprising,"Behaviorist martin Appelo says the NOS Radio 1 news with dismay at the news conference of Mark Rutte to have looked. ""I think ...","['behavioral', 'expected', 'corona-uprising']",fear
48,asml ongeschonden door corona – nog wel,asml heeft nog geen afstel of zelfs maar uitstel gezien rond bestellingen van zijn machines. toch heeft topman peter wennink niet de illusie dat de corona ...,22-04-20,ASML unscathed by corona - still,ASML has not yet cancellation or even postponement seen around orders of his machines. nevertheless CEO Peter Wennink no illusion that the corona ...,"['ASML', 'unscathed', 'corona', 'still']",fear
49,'corona-app-debat wordt vooral nakaarten',vanmiddag wordt het corona-app-debat gehouden dat begint met een briefing van jaap van dissel van het rivm. daarna wordt er gedebatteerd met premier ...,22-04-20,'Corona app debate mainly chat afterwards',afternoon corona app debate will be held beginning with a briefing gash of drawbar of rivm. next we discussed with Prime Minister ...,"[""'Corona"", 'app', 'debate', 'mainly', 'chat', 'afterwards']",anger
50,"corona verpest afscheidsfeest tante rikie: 'jammer, maar het is niet anders'",ze zat gewoon thuis voor de tv. en hoorde premier rutte zeggen dat haar zwarte cross dit jaar niet kan doorgaan. tante rikie is al 23 jaar het boegbeeld van ...,22-04-20,"Corona farewell party ruined aunt rikie ""unfortunate, but it is no different""",she was sitting at home watching TV. Prime Minister Rutte and heard her say black cross can not continue this year. aunt rikie is the standard bearer for 23 years ...,"['Corona', 'farewell', 'party', 'ruined', 'aunt', 'rikie', 'unfortunate', 'but', 'different']",sadness
51,honderd samenstraten tegen corona - mo*,"het coronavirus zaait dood en angst. maar het botst op zoveel zorgzame mensen die boven hun beroep uitstijgen, en op het lopend vuur van de solidariteit.",22-04-20,hundred along streets against corona - mo,"coronavirus sow death and terror. it impinges on so many caring people who rise above their profession, including the wildfire of solidarity.","['hundred', 'along', 'street', 'against', 'corona']",fear
52,sail helemaal afgeblazen vanwege corona,de komende editie van sail amsterdam gaat niet door. de organisatie heeft besloten het hele scheepvaartevenement af te blazen na de verlenging van de ...,22-04-20,sail completely abandoned because of corona,the next edition of Sail Amsterdam has been canceled. the organization has decided to call off the whole maritime event after the renewal of ...,"['sail', 'completely', 'abandoned', 'because', 'corona']",fear
53,minister: geen van de corona-apps wordt in huidige vorm ingezet,"geen van de coronatracker-apps die bij de aanbesteding van het kabinet zijn ingediend, wordt in zijn huidige vorm ingezet. dat heeft minister hugo de jonge ...",22-04-20,Minister: No Corona apps deployed in current form,"None of the corona tracker apps submitted to the tender of the government, will be used in its present form. that hugo Minister young ...","['Minister', 'Corona', 'apps', 'deployed', 'current', 'form']",joy
54,deze twentse en achterhoekse (tent)feesten gaan niet door vanwege corona,oldenzaal - het kabinet heeft dinsdagavond het verbod op grote evenementen verlengd tot 1 september. dat betekent dat tientallen tentfeesten en ...,22-04-20,Twente and the Achterhoek (tent) party will not because of corona,oldenzaal - the Cabinet Tuesday to ban large events extended to 1 September. That means dozens of tent parties and ...,"['Twente', 'and', 'the', 'Achterhoek', 'tent', 'party', 'will', 'not', 'because', 'corona']",fear
55,nieuwe huizencrisis door corona? 'het zou goed zijn als de huizenmarkt afkoelt',"voor veel groepen woningzoekenden zijn huizen de afgelopen jaren veel te duur geworden. zou het niet goed zijn als de huizenmarkt afkoelt? ja, zeggen ...",22-04-20,"New housing crisis by corona? ""It would be good if the housing market cools'","for many groups seeking housing are houses become more expensive in recent years. it would not be good as the housing market cools? So, say ...","['New', 'housing', 'crisis', 'corona', 'would', 'good', 'the', 'housing', 'market', 'cool']",sadness
56,"corona eist nog een leven in de kop van noord-holland, in totaal nu tien inwoners overleden","corona heeft nog een leven geëist in de kop van noord-holland. een inwoner van hollands kroon is overleden aan het virus, wat het totaal in de gemeente op .",22-04-20,"corona demands a life in the head of North Holland, in total now deceased ten people","Corona has a life demanded in the head of North Holland. a native of dutch crown is deceased to the virus, bringing the total in the municipality.","['corona', 'demand', 'life', 'the', 'head', 'North', 'Holland', 'total', 'now', 'deceased', 'ten', 'people']",disgust
57,regio: aantal ziekenhuisopnames en overledenen door corona blijft gelijk,het aantal ziekenhuisopnames en overlijdensgevallen door het coronavirus in onze regio is van dinsdag op woensdag gelijk gebleven.,22-04-20,region: number of hospitalizations and deaths by corona remains the same,the number of hospital admissions and deaths from Tuesday remained the same on Wednesday by the coronavirus in our region.,"['region', 'number', 'hospitalization', 'and', 'death', 'corona', 'remains', 'the', 'same']",sadness
58,omwonenden eindhoven airport willen minder vluchten 'na corona',eindhoven - de coronamaatregelen pakken gunstig uit voor omwonenden van eindhoven airport die overlast ervaren van het vlieggeluid. nooit eerder was ...,22-04-20,"residents Eindhoven airport to fewer flights ""after corona '",Eindhoven - the corona action suits favorable for residents of Eindhoven airport experiencing nuisance from aircraft noise. never before ...,"['resident', 'Eindhoven', 'airport', 'few', 'flights', 'after', 'corona']",fear
59,22 april 2020 corona | kabinet komt met extra loonsteun via now,"minister koolmees van sociale zaken en werkgelegenheid versoepelt de concernbepaling in de now-regeling, maar verbindt daar wel nieuwe voorwaarden ...",22-04-20,"April 22, 2020 Corona | government will pay additional support through now","tit Minister of Social Affairs and Employment eases the concern now provision in the scheme, but it connects new conditions there ...","['April', '2020', 'Corona', 'government', 'will', 'pay', 'additional', 'support', 'through', 'now']",joy
60,theologenblog: liberale ik tegenover gemeenschappelijk belang bij corona-app,bij de invoering van een corona-app gaan belangen botsen. ons liberale ik ziet zich geplaatst tegenover een dringende vraag vanuit het gemeenschappelijk ...,22-04-20,theologians blog: liberal I opposed common interest corona app,collide with interest the introduction of a corona app. our liberal I finds itself facing an urgent demand from the common ...,"['theologian', 'blog', 'liberal', 'opposed', 'common', 'interest', 'corona', 'app']",disgust
61,tweede kamer spreekt it- en privacyexperts over corona-apps,it- en privacyexperts geven tweede kamerleden woensdag de nodige duiding en uitleg over de risico's en kansen van het gebruik van veelbesproken ...,22-04-20,second room speaks on IT and privacy experts corona apps,IT and privacy experts give second Wednesday MPs the necessary interpretation and explain the risks and opportunities of using much discussed ...,"['second', 'room', 'speaks', 'and', 'privacy', 'expert', 'corona', 'apps']",fear
62,"mocht de corona-app er komen, dan heeft deze start-up uit joure de manier om hem zoveel mogelijk te laten downloaden","of er ooit een app gaat komen om de gangen van een met corona besmette persoon digitaal terug te volgen, is de vraag. maar als die er wel komt, heeft start-up ...",22-04-20,"could come corona app there, then the start-up of joure the way to him as much as possible to download","whether there ever will be an app for the course of a follow infected person digital corona again, the question is. but if there is, has start-up ...","['could', 'come', 'corona', 'app', 'there', 'then', 'the', 'start-up', 'joure', 'the', 'way', 'him', 'much', 'possible', 'download']",anger
